,품목,번역
142,메타아크릴산메틸,メタアクリル酸メチル
143,은,銀
144,의료용기기,医療容器
145,X선및방사선기기,X線と放射デバイス
146,윤활제,スラッシュ
147,스테인레스강중후판,ステンレス鋼プレート
148,농약원제,農薬
149,알루미늄판,アルミニウム
150,다이오드,ダイオード
151,기타의섬유제품,他の繊維
152,철및비합금강U형강,鉄と非ハプガム川U字型の鋼
153,기타합금철,他の合金鉄
154,직류전동기,DCモーター
155,염화비닐모노마,塩化ビニロノム
156,낚시용구,釣り玉
157,불꽃점화식내연기관,花火
158,스테인레스강냉연강판,ステンレス鋼
159,전기강판,電気鋼板
160,플라스틱관,プラスチックチューブ
161,내시경,内視鏡
162,화학기계,化学
163,알루미늄박,アルミニウム
164,퓨우즈,プズーズ
165,압연기,圧延機
166,화학기계부품,化学
167,두발용 제품,ヘアカット
168,폴리아미드수지,ポリアミド樹脂
169,펄프,パルプ
170,승용차용타이어,乗客のタイヤ
171,전구,バルブ
172,석회석,石灰岩
173,저밀도에틸렌,低密度エチレン
174,기타컴퓨터주변기기,他のコンピューター周辺機器
175,합금강강선,合金ギャングガンライン
176,선박용 부품,出荷
177,기타유지가공품,その他のメンテナンス製品
178,현상한영화필름,驚異的な映画映画
179,자동제어기부품,自動コントローラー
180,개인용컴퓨터,パソコン
181,기타의료용전자기기,その他の医療エレクトロニクス
182,기타소스류,他のソース
183,에틸렌,エチレン
184,농약,農薬
185,기타회로보호용기기,その他の回路保護コンテナ
186,에폭시수지,エポキシ
187,인쇄용지,印刷用紙
188,모터사이클,オートバイ
189,사료,餌
190,기타철강금속제품,その他のスチールメタル製品
191,로얄제리,ロイヤルジェリー
192,커팅공구,切削工具
193,합금강중후판,合金
194,여객선,フェリー
195,선박용압축점화식엔진,船 - エンジンエンジンを吸う
196,전자계측기,電子機器
197,철도차량부품,鉄道車両
198,기타생활용품,他の家庭用品
199,기타 절연부품,その他の断熱部分
200,기타축전지,他の民俗バッテリー
201,기타 전기부품,他の電気部品
202,교류발전기,オルタネーター
203,공기조절기부품,エアコントロール部品
204,다이아몬드공구,ダイヤモンドツール
205,볼트및너트,ボルトとナット
206,알루미늄괴,アルミニウム
207,운반하역기계부품,機械部品の輸送およびアンロード
208,발전기 부분품,発生器
209,기타농산가공품,その他の農業製品
210,기타합성고무,その他の合成
211,절연코드세트,断熱コードセット
212,현미경,顕微鏡
213,크라프트지,クラフトマガジン
214,알루미늄용기,アルミニウム容器
215,주강,川
216,공기압공구,空気圧ツール
217,포트랜드시멘트,ポルトランドセメント
218,공기조절기,エアレギュレーター
219,합금강열연강판,合金
220,클로로프렌고무,クロロプレン
221,블름,赤面
222,기타몰리브덴제품,他のモリベン製品
223,기타주류,他の酒
224,선박용불꽃점화식엔진,輸送する
225,표면활성제,表面アクティブエージェント
226,니켈판및대,ニッケルパンと
227,기타농기계,その他の農業機械
228,스웨터,セーター
229,골판지원지,段ボール
230,폴리에스테르수지,ポリエステル樹脂
231,기타정지형변환기,その他の停止タイプコンバーター
232,철강재체인,鋼
233,건설중장비부품,建設重機部品
234,온도계,温度計
235,고무플라스틱가공기계부품,ゴム製プラスチック加工機の部品
236,조립식완구,プレハブ
237,기타운동복,他のスポーツウェア
238,변환장치 부분품,変換デバイス
239,니켈봉및선재,ニッケルボンとワイヤーロッド
240,정류기,整流器
241,엔진결합발전세트,エンジン結合電源セット
242,기타가정용전자,その他
243,전동기 부분품,モーター
244,초산비닐,ビニール
245,아세테이트섬유,酢酸繊維
246,SBR,SBR
247,스테인레스강강선,ステンレス鋼
248,폴리카보네이트,ポリカーボネート
249,안경테,スペクタクルフレーム
250,의료용전자기기부품,医療電磁部品
251,전자석,電磁石
252,건식 변압기,ドライトランス
253,원목,固体木材
254,반창고,絆創膏
255,고정식저항기,固定食品
256,기타텅스텐제품,他のタングステン製品
257,고무밸트,ラバーベルト
258,기타의료위생용품,他の医療衛生用品
259,소형전동기,小さなモーター
260,지가공기계,土地価格
261,가열난방기부품,暖房
262,레이더,レーダー
263,폴리에스터직물,ポリエステル生地
264,인공신장기,人工腎臓
265,측정공구,測定ツール
266,저압케이블,低圧ケーブル
267,의료용기기부품,医療コンテナ部品
268,연괴,韻
269,공업용귀금속제품,工業用耳金属製品
270,유리용기,ガラス容器
271,드릴링공구,掘削ツール
272,기타수공구,その他の水道具
273,개별소자반도체부품,個々のデバイス半導体部品
274,무정전전원장치,無制限の転送デバイス
275,목재가공기계,木工師
276,스패너,スパナ
277,주조설비,キャスティング機器
278,프로필렌옥사이드,プロピレン酸化物
279,나일론사,ナイロン
280,니켈괴,ニッケル
281,섬유기계,ファイバ
282,유리공예품,ガラス工芸
283,화물자동차,トラック
284,부타디엔,ブタジエン
285,기타선박,他の船
286,로보트형용접기,ロボットアドベント
287,편직물,編み物
288,제지인쇄기계부품,紙印刷機の部品
289,기타 기기,他のデバイス
290,빵,パン
291,카레,カレー
292,재료시험기,マテリアルテスター
293,고압 개폐기 및 차단기,高電圧スイッチギアとブレーカー
294,기타신발,他の靴
295,광물가공기계부품,鉱物プロセス
296,세안용품,クレンジング用品
297,동분,ギター
298,안경,眼鏡
299,기타수산가공품,その他の漁業製品
300,연축전지,バッテリーにまたがる
301,자기제 식탁용품 및 주방용품,自己ダイニングテーブルとキッチン用品
302,맥주,ビール
303,면류,麺
304,미정제동괴,不当
305,사탕,キャンディー
306,니켈박,ニッケル
307,알루미늄선,アルミニウム
308,기타전자부품,その他の電子部品
309,축전지부품,フェスティバル
310,스테인레스및합금강형강,ステンレスとゴールドリバーリバー
311,동축케이블,同軸ケーブル
312,기타가정용전자부품,その他
313,서적,本
314,연마제품,研磨製品
315,터보제트,ターボジェット
316,합성수지제가방,合成樹脂バッグ
317,손목시계,見る
318,자전거부품,自転車
319,가변식축전기,変数
320,니켈관,ニッケルチューブ
321,알루미늄구조물,アルミニウム構造
322,레이저프린터,レーザープリンター
323,귀금속장식품,貴重な金属食品
324,목욕용 제품,バス製品
325,중량계,ウェイトメーター
326,플라이어,ペンチ
327,ABS수지,ABS樹脂
328,기타자동차,他の車
329,착색아연도강판,カラーガルバニティスチールシート
330,데이터디스플레이장치,データ表示デバイス
331,백판지,白いプレート
332,전자게임기,電子ゲームコンソール
333,실리콘철,シリコーン
334,갈치,カトラス
335,가열기구,暖房装置
336,동봉,労働者の蜂
337,주물용선철,鋳造
338,왁스,ワックス
339,주석분,錫
340,기타완구,他のおもちゃ
341,건전지,バッテリー
342,기타의직물,他の
343,비스킷,ビスケット
344,식품포장기계부품,食品包装機の部品
345,기타,等
346,냉방기,エアコン
347,농기계부품,農業機械
348,명태,ポロック
349,언더셔츠,アンダーシャツ
350,기타전동공구,その他の電動工具
351,피아노,ピアノ
352,인형,人形
353,용접기부품,溶接
354,콘테이너,容器
355,잉크젯프린터,インクジェットプリンター
356,모자,帽子
357,기타철구조물,ギター
358,탁구용품,卓球
359,철강제 식탁용품 및 주방용품,スチールダイニングテーブル用品とキッチン用品
360,가위,はさみ
361,커피조제품,コーヒーの準備
362,오토크실렌,オートキシレン
363,광케이블,光ケーブル
364,제재목,制裁
365,기타경보신호기,その他のアラーム
366,교통신호기부품,交通信号
367,여성바지스커트,女性のズボンスカート
368,주조설비부품,キャスティング機器
369,탭핑공구,タッピングツール
370,철및비합금강봉강,鉄と非ゴールドのガンボンガン
371,간장,醤油
372,구강및치과 위생용품,口腔および歯科医衛生製品
373,기타타이어,他のタイヤ
374,피혁가공기계,レザー
375,기타가방,他のバッグ
376,니켈스크랩,ニッケルスクラップ
377,기타인쇄물,他のプリント
378,직물제가방,ファブリック
379,기타합성섬유,他の合成繊維
380,밀링공구,ミリングツール
381,버스및화물차용타이어,バスと貨物のタイヤ
382,기타잡제품,他の仕事
383,벙커-C유,Bunker-C Yu
384,섬유및피혁가공기계부품,テキスタイルおよび革加工機の部品
385,기타조명기기,その他の照明機器
386,알루미늄봉,アルミニウム
387,SNR-L,SNR-L
388,석도강판,seokdo鋼板
389,스프링,バネ
390,기타니켈제품,キタニケル製品
391,기타컴포넌트,他のコンポーネント
392,변성기,変態
393,남성바지,オスのズボン
394,전자현미경부품,電子県顕微鏡部品
395,제본기계,バインディングマシン
396,토지측량기,土地測量士
397,기타금형,他の金型
398,차단기 부분품,ブレーカ
399,혈압측정기,血圧計
400,위스키,ウィスキー
401,브라우스,茶色
402,안테나,アンテナ
403,질소비료,窒素受精
404,고무관,ゴム
405,키입력장치,鍵
406,파이프커터,パイプカッター
407,기타항공기부품,その他の航空機部品
408,철및비합금강용접강관(중소),スチールおよび非結合ゴールドスチール毒性（小および中程度）
409,소가죽,カウハイド
410,안경렌즈,眼鏡レンズ
411,주석봉및선재,ブリキとワイヤーロッド
412,광산기계,私の
413,폴리부타디엔고무,ポリ・ブタディエン
414,염화비닐수지,塩化
415,스피커,スピーカー
416,복합비료,複雑な肥料
417,철및비합금강강선,鉄と非ゴールドギャングガンライン
418,여성양복상의,女性
419,화장지 등,トイレットペーパー
420,아세테이트사,酢酸会社
421,불도우저,消防ヘルパー
422,재생직물,再生
423,전기용접기,電気折りたたみ
424,초코렛,チョコレート
425,전기아연도강판,電気亜鉛
426,귀금속장식품,貴重な金属食品
427,폴리프로필렌,ポリプロピレン
428,개폐기부분품,開閉
429,기타관악기,他の風楽器
430,나일론직물,ナイロン
431,음향기기부품,健全な機器部品
432,식물성액즙,野菜ジュース
433,동관,契約
434,스캐너,スキャナー
435,기타산동물,キタ
436,기타 ,等
437,기타주석제품,他の錫製品
438,기타보조기억장치,その他の補助デバイス
439,기타사무기기,他のオフィス武器
440,보링공구,退屈なツール
441,부탄,ブタン
442,염색,染色
443,계전기 부분품,リレー
444,단백질류,タンパク質
445,염색,染色
446,기타가구,他の家具
447,도자제 식탁용품 및 주방용품,陶器のダイニングテーブル用品とキッチン用品
448,효모류,酵母
449,신사복상의,神社
450,기타목재류,他の木材
451,기타사,ギター
452,기타조개,他の貝
453,수상기,水上飛行機
454,드레스,ドレス
455,수도구,メトロポリタン
456,기타식물성유지,他の植物のセックスを維持します
457,폴리에스터사,ポリエステル
458,폴리스티렌,ポリスチレン
459,텅스텐괴및스크랩,タングステンゲーとスクラップ
460,전산기록매체,コンピューター
461,박류,パック
462,초음파영상진단기,超音波
463,테니스및배드민턴용품,テニスとバドミントンの物資
464,금속성형가공기계,金属成形機
465,이륜차부품,2輪車の部品
466,선풍기,ファン
467,기타악기,他の楽器
468,바지 스커트,ズボンスカート
469,기타연체동물,他の軟体動物
470,브라우스,茶色
471,재봉기,ミシン
472,식품가공기계부품,食品加工機の部品
473,광물가공기계,ミネラル加工機
474,다이캐스팅금형,鋳造カビ
475,코코아조제품,ココア
476,기타음료,他の飲み物
477,남성아우터셔츠,オスのアウターシャツ
478,스포츠화,スポーツ
479,애자,チェリー
480,플라스틱금형,プラスチック型
481,화장용품,化粧品
482,종자류,シード
483,기타폴리에스터직물,他のポリエステルファブリック
484,폴리아미드필름,ポリアミドフィルム
485,스크루드라이버,ドライバー
486,기타화초,他の花
487,모조 장식품,模倣
488,자전관,自転車
489,아세탈수지,アセット
490,텐트및캠프용품,テントとキャンプ用品
491,기타가죽,他の革
492,동선,銅線
493,된장,味噌
494,안전유리,安全ガラス
495,참치,ツナ
496,기타수산물,他のシーフード
497,동관연결구류,Dongguan Connection Ditention
498,기타프린터,他のプリンター
499,당구용품,ビリヤード
500,김,海藻
501,압연기부품,圧延
502,휴대용컴퓨터,ポータブルコンピューター
503,미정제니켈괴,ミジュン・ジェニー・ケルト
504,포도주,ワイン
505,양말,金額 - 言う
506,유리식기및장식품,ガラスと腸の食べ物
507,항공기엔진,航空機エンジン
508,기타운동용구,その他のエクササイズツール
509,기타합섬직물,他の島の生地
510,남성셔츠,男性のシャツ
511,축전기부품,フェスティバル
512,전기계측기,エレクトロップラニア
513,냉방기부품,エアコン
514,권선,巻き取り
515,커피,コーヒー
516,HDD,HDD
517,유아용냅킨,ナプキン
518,선염,ライブライン
519,기타관악기,他の風楽器
520,기타식물성물질,他の植物材料
521,미술용구,美術
522,고령토,中国粘土
523,비스코스섬유,ビスコース繊維
524,아크릴로니트닐부타디,アクリロナイトニールブタディ
525,유아용냅킨,ナプキン
526,기타공예품,他の工芸品
527,연스크랩,ヨンスクラップ
528,경보신호기부품,アラーム信号
529,신문등정기간행물,新聞の登山期間
530,광산기계부품,マイニングマシン
531,유리가공기계부품,ガラス加工機
532,그 밖의 의자,他の椅子
533,화장지,ペーパータオル
534,콘택트렌즈,コンタクトレンズ
535,특장차,特別な車
536,기타당류,他の糖
537,방송용통신기기,ブロードキャスト通信デバイス
538,다이아몬드,ダイヤモンド
539,칼,ナイフ
540,유리제 식탁용품 및 주방용품,ガラスダイニングテーブル用品とキッチン用品
541,증기터빈,蒸気タービン
542,마찰제품,摩擦
543,운동용 장갑,エクササイズグローブ
544,수산부산물,漁業
545,기타화장품,他の化粧品
546,면도용품,シェービング
547,침구이불,寝具
548,난방기기,ラジエーター
549,카메라,カメラ
550,농산물왁스,農業
551,소모,消費
552,기타편직제의류,他の騎士
553,에어컨,エアコン
554,드레스,ドレス
555,고압케이블,高電圧ケーブル
556,분유,粉ミルク
557,가죽제가방,レザーバッグ
558,아연분및더스트,亜鉛とほこり
559,기타시계,他の時計
560,가스경보기,ガスアラーム
561,기타공구,他のツール
562,메인보드,マザーボード
563,진주,パール
564,경유,通路
565,자전거,自転車
566,기타용의 전기로,その他の電気
567,물,水
568,기타전자관,他の電子機器
569,표백,漂白
570,알루미늄분,アルミニウム
571,속도계,速度計
572,어육,漁業
573,배전보드,配布板
574,에틸렌글리콜,エチレングリコール
575,고압회로접속기,高圧回路接続
576,코트 및 자켓,コートとジャケット
577,유리제벌브,Yuri Springb
578,스테인레스강강관,ステンレス鋼管
579,착암공구,Sukamツール
580,플라스틱깔개및벽피복,プラスチックパレットと壁
581,기타용접기,その他の使用フォールド
582,가변식저항기,可変抵抗
583,위생용기,衛生容器
584,세탁기,洗濯機
585,로프,ロープ
586,소주,ソジュ
587,손수건 스카프,ハンカチ
588,유선통신기기부품,有線通信
589,마이크로폰,マイクロフォン
590,기타채소,他の野菜
591,스키용품,スキー
592,기타곡분,他の曲
593,겨자무,マスタード
594,마직물,不正
595,실내용품,屋内
596,운모제품,ウンモエ
597,"향수, 화장수",香水、トイレの水
598,흑연,黒い煙
599,기타관악기,他の風楽器
